,work,composer,librettist,theatre,date
4714,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Festival Theatre, Edinburgh",1994-12-01
4715,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Festival Theatre, Edinburgh",1994-12-07
4716,Mary Stuart,Gaetano Donizetti,Giuseppe Bardari,"Theatre Royal, Newcastle",1994-11-26
4717,Mary Stuart,Gaetano Donizetti,Giuseppe Bardari,"Festival Theatre, Edinburgh",1994-12-02
4718,Mary Stuart,Gaetano Donizetti,Giuseppe Bardari,"Festival Theatre, Edinburgh",1994-12-06
4719,Mary Stuart,Gaetano Donizetti,Giuseppe Bardari,"Festival Theatre, Edinburgh",1994-12-09
4720,Fidelio,Ludwig van Beethoven,"Josef Sonnleithner
				Friedrich Treitschke","Festival Theatre, Edinburgh",1994-11-30
4721,Fidelio,Ludwig van Beethoven,"Josef Sonnleithner
				Friedrich Treitschke","Festival Theatre, Edinburgh",1994-12-08
4722,Tristan and Isolde,Richard Wagner,Richard Wagner,"Festival Theatre, Edinburgh",1994-12-03
4723,Tristan and Isolde,Richard Wagner,Richard Wagner,"Festival Theatre, Edinburgh",1994-12-10
4724,Iolanthe,Arthur Sullivan,William S Gilbert,"Theatre Royal, Glasgow",1994-01-07
4725,Iolanthe,Arthur Sullivan,William S Gilbert,"Theatre Royal, Glasgow",1994-01-09
4726,Iolanthe,Arthur Sullivan,William S Gilbert,"Theatre Royal, Glasgow",1994-01-14
4727,Iolanthe,Arthur Sullivan,William S Gilbert,"Theatre Royal, Glasgow",1994-01-14
4728,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1994-01-24
4729,Iolanthe,Arthur Sullivan,William S Gilbert,"Theatre Royal, Glasgow",1995-01-25
4730,Iolanthe,Arthur Sullivan,William S Gilbert,"Theatre Royal, Glasgow",1995-01-26
4731,Iolanthe,Arthur Sullivan,William S Gilbert,"Theatre Royal, Glasgow",1995-01-27
4732,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1995-01-28
4733,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1995-01-30
4734,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1995-02-02
4735,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1995-02-04
4736,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1995-02-07
4737,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1995-02-11
4738,Elijah,Felix Mendelssohn,Julius Schubring,Stevenson Hall,1995-02-02
4739,Coffee Cantata,Johann Sebastian Bach,C F Henrici 'Picander',Cowdray Hall,1995-03-14
4740,Coffee Cantata,Johann Sebastian Bach,C F Henrici 'Picander',"Queen's Hall, Edinburgh",1995-03-15
4741,Coffee Cantata,Johann Sebastian Bach,C F Henrici 'Picander',"Crichton Kirk, Dumfries",1995-03-16
4742,Coffee Cantata,Johann Sebastian Bach,C F Henrici 'Picander',Concert Hall (RSAMD),1995-03-17
4743,Coffee Cantata,Johann Sebastian Bach,C F Henrici 'Picander',St Paul's Cathedral,1995-03-19
4744,Carmina Burana,,,Caird Hall,1995-04-23
4745,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni","Theatre Royal, Glasgow",1995-04-28
4746,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni","Theatre Royal, Glasgow",1995-05-06
4747,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni","Theatre Royal, Glasgow",1995-05-13
4748,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni","Theatre Royal, Glasgow",1995-05-18
4749,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni","Theatre Royal, Glasgow",1995-05-24
4750,Life with an Idiot,Alfred Schnittke,Victor Erofeyev,"Theatre Royal, Glasgow",1995-05-11
4751,Life with an Idiot,Alfred Schnittke,Victor Erofeyev,"Theatre Royal, Glasgow",1995-05-16
4752,Life with an Idiot,Alfred Schnittke,Victor Erofeyev,"Theatre Royal, Glasgow",1995-05-20
4753,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Glasgow",1995-05-19
4754,Life with an Idiot,Alfred Schnittke,Victor Erofeyev,"Theatre Royal, Glasgow",1995-05-25
4755,Life with an Idiot,Alfred Schnittke,Victor Erofeyev,"Festival Theatre, Edinburgh",1995-06-08
4756,Life with an Idiot,Alfred Schnittke,Victor Erofeyev,"Theatre Royal, Newcastle",1995-06-16
4757,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1995-05-27
4758,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","His Majesty's Theatre, Aberdeen",1995-06-01
4759,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","His Majesty's Theatre, Aberdeen",1995-06-03
4760,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Newcastle",1995-06-15
4761,Burning Fiery Furnace,,,St John's Kirk,1995-05-29
4762,Burning Fiery Furnace,,,St John's Kirk,1995-05-31
4763,Burning Fiery Furnace,,,St John's Kirk,1995-06-01
4764,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"His Majesty's Theatre, Aberdeen",1995-05-31
4765,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"His Majesty's Theatre, Aberdeen",1995-06-02
4766,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Festival Theatre, Edinburgh",1995-06-07
4767,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Festival Theatre, Edinburgh",1995-06-09
4768,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Newcastle",1995-06-14
4769,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"Theatre Royal, Newcastle",1995-06-17
4770,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni","Festival Theatre, Edinburgh",1995-06-08
4771,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni","Festival Theatre, Edinburgh",1995-06-10
4772,Forza del Destino,Giuseppe Verdi,"Francesco Maria  Piave
				Antonio Ghislanzoni","Theatre Royal, Newcastle",1995-06-13
