,work,date,composer,librettist,based_on,language
3959,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3960,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3961,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3962,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3963,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3964,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3965,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3966,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3967,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3968,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3969,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3970,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3971,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3972,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3973,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3974,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3975,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3976,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3977,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3978,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3979,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
3980,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
3981,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3982,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3983,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3984,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
3985,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3986,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3987,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3988,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
3989,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
3990,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
3991,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
3992,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
3993,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
3994,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
3995,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
3996,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
3997,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
3998,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
3999,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
4000,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
4001,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4002,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
4003,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4004,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
4005,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4006,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4007,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4008,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4009,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
4010,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4011,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4012,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
4013,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4014,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
4015,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4016,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
4017,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
4018,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
4019,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
4020,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
4021,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4022,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
4023,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4024,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
4025,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4026,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4027,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4028,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4029,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
4030,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4031,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4032,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
4033,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4034,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
4035,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4036,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
4037,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
4038,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
4039,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
4040,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
4041,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4042,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
4043,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4044,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
4045,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4046,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4047,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4048,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4049,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
4050,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4051,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4052,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
4053,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4054,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
4055,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4056,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
4057,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
4058,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
4059,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
4060,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
4061,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4062,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
4063,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4064,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
4065,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4066,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4067,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4068,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4069,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
4070,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4071,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4072,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
4073,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4074,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
4075,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4076,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
4077,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
4078,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
4079,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
4080,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
4081,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4082,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
4083,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4084,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
4085,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4086,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4087,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4088,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4089,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
4090,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4091,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4092,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
4093,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4094,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
4095,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4096,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
4097,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
4098,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
4099,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
4100,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
4101,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4102,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
4103,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4104,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
4105,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4106,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4107,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4108,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4109,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
4110,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4111,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4112,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
4113,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4114,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
4115,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4116,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
4117,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
4118,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
4119,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
4120,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
4121,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4122,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
4123,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4124,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
4125,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4126,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4127,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4128,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
4129,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
4130,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
4131,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
4132,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
4133,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
4134,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
