,composer,complete_name,dates,uri,work
1424,Porpora,Nicola Porpora,(1686–1768),http://operabase.com/visual.cgi??lang=en&is=opera&by=Porpora,Il trionfo della divina giustizia 
1425,Steffani,Agostino Steffani,(1654–1728),http://operabase.com/visual.cgi??lang=en&is=opera&by=Steffani,"Niobe, Regina di Tebe "
1426,Steffani,Agostino Steffani,(1654–1728),http://operabase.com/visual.cgi??lang=en&is=opera&by=Steffani,Amor vien dal destino 
1427,Steffani,Agostino Steffani,(1654–1728),http://operabase.com/visual.cgi??lang=en&is=opera&by=Steffani,Baccanali 
1428,Steffani,Agostino Steffani,(1654–1728),http://operabase.com/visual.cgi??lang=en&is=opera&by=Steffani,La lotta d'Ercole con Acheloo 
1429,Tulebayev,Mukan Tulebayev,(1913–1960),http://operabase.com/visual.cgi??lang=en&is=opera&by=Tulebayev,Birzhan i Sara 
1430,Johnson,Tom Johnson,(b.1939),http://operabase.com/visual.cgi??lang=en&is=opera&by=Johnson,The Four Note Opera 
1431,Paderewski,Ignacy Jan Paderewski,(1860–1941),http://operabase.com/visual.cgi??lang=en&is=opera&by=Paderewski,Manru 
1432,Musto,John Musto,(b.1954),http://operabase.com/visual.cgi??lang=en&is=opera&by=Musto,Later the Same Evening 
1433,Musto,John Musto,(b.1954),http://operabase.com/visual.cgi??lang=en&is=opera&by=Musto,Bastianello 
1434,Listov,Konstantin Listov,(1900–1983),http://operabase.com/visual.cgi??lang=en&is=opera&by=Listov,Sevastopol Waltz 
1435,Suchon,Eugen Suchoň,(1908–1993),http://operabase.com/visual.cgi??lang=en&is=opera&by=Suchon,Krutnava 
1436,Suchon,Eugen Suchoň,(1908–1993),http://operabase.com/visual.cgi??lang=en&is=opera&by=Suchon,Svatopluk 
1437,Donatoni,Franco Donatoni,(1927–2000),http://operabase.com/visual.cgi??lang=en&is=opera&by=Donatoni,"Alfred, Alfred "
1438,Mendonca,Vasco Mendonça,(b.1977),http://operabase.com/visual.cgi??lang=en&is=opera&by=Mendonca,The House Taken Over 
1439,Mendonca,Vasco Mendonça,(b.1977),http://operabase.com/visual.cgi??lang=en&is=opera&by=Mendonca,Ping 
1440,David,Félicien David,(1810–1876),http://operabase.com/visual.cgi??lang=en&is=opera&by=David,Herculanum 
1441,David,Félicien David,(1810–1876),http://operabase.com/visual.cgi??lang=en&is=opera&by=David,Christophe Colomb 
1442,David,Félicien David,(1810–1876),http://operabase.com/visual.cgi??lang=en&is=opera&by=David,Lalla-Roukh 
1443,Charody,Chloé Charody,(b.1984),http://operabase.com/visual.cgi??lang=en&is=opera&by=Charody,Morning Blossoms 
1444,Hall,Emily Hall,(b.1978),http://operabase.com/visual.cgi??lang=en&is=opera&by=Hall,Folie a deux 
1445,Puw,Guto Puw,(b.1971),http://operabase.com/visual.cgi??lang=en&is=opera&by=Puw,Y Twr 
1446,Falvetti,Michelangelo Falvetti,(1642–1692),http://operabase.com/visual.cgi??lang=en&is=opera&by=Falvetti,Nabucco 
1447,Falvetti,Michelangelo Falvetti,(1642–1692),http://operabase.com/visual.cgi??lang=en&is=opera&by=Falvetti,Il Diluvio universale 
1448,"Fjellstrom,M",Marcus Fjellström,(b.1979),"http://operabase.com/visual.cgi??lang=en&is=opera&by=Fjellstrom,M",Boris Christ 
1449,Waits,Tom Waits,(b.1949),http://operabase.com/visual.cgi??lang=en&is=opera&by=Waits,The Black Rider 
1450,Waits,Tom Waits,(b.1949),http://operabase.com/visual.cgi??lang=en&is=opera&by=Waits,Woyzeck 
1451,Gimenez,Gerónimo Giménez,(1854–1923),http://operabase.com/visual.cgi??lang=en&is=opera&by=Gimenez,Ensenanza libre 
1452,Gimenez,Gerónimo Giménez,(1854–1923),http://operabase.com/visual.cgi??lang=en&is=opera&by=Gimenez,La gatita blanca 
