"","work_x","composer_x","work_key"
"50","Katya Kabanova","Janácek","Q1322339"
"51","Káta Kabanová","Janácek","Q1322339"
"52","Kátya Kabanová","Janácek","Q1322339"
"53","Prihody Lisky Bystrousky","Janácek","Q1171538"
"54","Kát'a Kabanová","Janácek","Q1322339"
"55","The Bald Soprano","Kalmanoff","Q471725"
"56","The Bald Soprano","Kalmanoff","Q471725"
"57","The Ring of Polykrates","Korngold","Q5261206"
"58","Brundibar","Krása","Q565663"
"59","I Pagliacci","Leoncavallo","Q248644"
"60","A Dream Play","Lidholm","Q605750"
"61","The Love Potion","Martin","Q332536"
"62","Thais","Massenet","Q1144467"
