"","composer","work","work_url"
"292","Chin","Alice in Wonderland","http://www.wikidata.org/entity/Q54993321"
"293","Menotti","The Last Savage","http://www.wikidata.org/entity/Q3007234"
"294","Handel","Amadigi di Gaula","http://www.wikidata.org/entity/Q452022"
"295","Prokofiev","The Fiery Angel","http://www.wikidata.org/entity/Q2372929"
"296","Verdi","Alzira","http://www.wikidata.org/entity/Q450801"
"297","Handel","Almira","http://www.wikidata.org/entity/Q1547158"
"298","Strauss","Die schweigsame Frau","http://www.wikidata.org/entity/Q1219379"
"299","Strauss","Die ägyptische Helena","http://www.wikidata.org/entity/Q1220040"
"300","Wolf-Ferrari","Sly","http://www.wikidata.org/entity/Q1140351"
"301","Messiaen","Saint François d'Assise","http://www.wikidata.org/entity/Q2605813"
"302","Strauss","Die agyptische Helena","http://www.wikidata.org/entity/Q1220040"
"303","Holst","Savitri","http://www.wikidata.org/entity/Q3474583"
"304","Handel","Serse","http://www.wikidata.org/entity/Q1069133"
"305","Handel","Teseo","http://www.wikidata.org/entity/Q1419652"
"306","Bizet","Djamileh","http://www.wikidata.org/entity/Q912017"
"307","Giordano","André Chénier","http://www.wikidata.org/entity/Q493656"
"308","Dove","The Adventures of Pinocchio","http://www.wikidata.org/entity/Q7712611"
"309","Massenet","Esclarmonde","http://www.wikidata.org/entity/Q2550219"
"310","Giordano","Andrea Chenier","http://www.wikidata.org/entity/Q493656"
"311","Tigranian","Anoush","http://www.wikidata.org/entity/Q4770434"
"312","Fairouz","Sumeida's Song","http://www.wikidata.org/entity/Q7637067"
"313","Handel","Tolomeo","http://www.wikidata.org/entity/Q1419468"
"314","Antheil","Transatlantic","http://www.wikidata.org/entity/Q3537386"
"315","d'Albert","Tiefland","http://www.wikidata.org/entity/Q1398735"
"316","Glass","Einstein on the Beach","http://www.wikidata.org/entity/Q2291287"
"317","Friml","The Vagabond King","http://www.wikidata.org/entity/Q7771892"
"318","Henze","Elegy for Young Lovers","http://www.wikidata.org/entity/Q3050642"
"319","Glass","The Voyage","http://www.wikidata.org/entity/Q3523251"
"320","Rossini","The Words and the Music: The Barber of Seville","http://www.wikidata.org/entity/Q208659"
"321","Puccini","Edgar","http://www.wikidata.org/entity/Q1351"
"322","Smetana","The Two Widows","http://www.wikidata.org/entity/Q232134"
"323","Benjamin","Written on Skin","http://www.wikidata.org/entity/Q8012986"
"324","Grétry","Zemire et Azor","http://www.wikidata.org/entity/Q684721"
"325","Glass","Waiting for the Barbarians","http://www.wikidata.org/entity/Q2390578"
"326","Verdi","Un Bal masqué","http://www.wikidata.org/entity/Q221757"
"327","Berio","Un re in ascolto","http://www.wikidata.org/entity/Q7882067"
"328","Blow","Venus and Adonis","http://www.wikidata.org/entity/Q381965"
"329","Larsen","A Wrinkle in Time","http://www.wikidata.org/entity/Q54996261"
"330","Stravinsky","The Nightingale","http://www.wikidata.org/entity/Q2450365"
"331","Shostakovich","The Nose","http://www.wikidata.org/entity/Q2367888"
"332","Sullivan","The Not Mikado","http://www.wikidata.org/entity/Q1195818"
"333","Bolcom","A Wedding","http://www.wikidata.org/entity/Q4660603"
"334","Donizetti","Dom Sébastien, roi de Portugal","http://www.wikidata.org/entity/Q846809"
"335","Gazzaniga","Don Giovanni","http://www.wikidata.org/entity/Q3713531"
"336","Saariaho","Adriana Mater","http://www.wikidata.org/entity/Q2825066"
"337","Donizetti","Adelia","http://www.wikidata.org/entity/Q503582"
"338","Tippett","The Midsummer Marriage","http://www.wikidata.org/entity/Q3521869"
"339","Rossini","The Turk in Italy","http://www.wikidata.org/entity/Q477643"
"340","Adès","The Tempest","http://www.wikidata.org/entity/Q3022126"
"341","Berlioz","The Trojans","http://www.wikidata.org/entity/Q472325"
"342","Weill","The Tsar Has His Photograph Taken","http://www.wikidata.org/entity/Q651505"
"343","Korngold","The Ring of Polykrates","http://www.wikidata.org/entity/Q5261206"
"344","Copland","The Second Hurricane","http://www.wikidata.org/entity/Q7762930"
"345","Delibes","Lakme","http://www.wikidata.org/entity/Q776107"
"346","Offenbach","Le 66","http://www.wikidata.org/entity/Q6506507"
"347","Ligeti","Le Grand Macabre","http://www.wikidata.org/entity/Q1062427"
"348","Massenet","Le Portrait de Manon","http://www.wikidata.org/entity/Q931054"
"349","Stravinsky","Le Rossignol (The Nightingale)","http://www.wikidata.org/entity/Q2450365"
"350","Pergolesi","La serva padrona","http://www.wikidata.org/entity/Q378237"
"351","Milhaud","La mere coupable","http://www.wikidata.org/entity/Q3210943"
"352","Massenet","La Navarraise","http://www.wikidata.org/entity/Q2709440"
