clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Kowalski, Henri","Kowalski, Henri",1841,1916,France,,opera.stanford,,"Kowalski, Henri"
"Kowalski, Július","Kowalski [Dominik], Július [Alexander]",1912,2003,Czechia,,opera.stanford,,"Kowalski [Dominik], Július [Alexander]"
"Kox, Hans","Kox, Hans",1930,,Netherlands,,opera.stanford,,"Kox, Hans"
"Kozeluch, Johann Antonin","Kozeluch [Koscheluch, Kozeluh], Johann [Jan Evangelista] Antonin [Tomás]",1738,1814,Czechia,,opera.stanford,,"Kozeluch [Koscheluch, Kozeluh], Johann [Jan Evangelista] Antonin [Tomás]"
"Kozeluch, Leopold","Kozeluch [Kotzeluch, Kozeluh], Leopold [Jan Antonin, Ioannes Antonius]",1747,1818,Czechia,,opera.stanford,,"Kozeluch [Kotzeluch, Kozeluh], Leopold [Jan Antonin, Ioannes Antonius]"
"Kozina, Marjan","Kozina, Marjan",1907,1966,Slovenia,,opera.stanford,,"Kozina, Marjan"
"Kozlovsky, Alexey","Kozlovsky, Alexey",1905,1977,Ukraine,,opera.stanford,,"Kozlovsky, Alexey"
"Krása, Hans",Krasa,1899,1944,Czechia,Male,operabase,Krasa,"Krása, Hans"
"Krasev, ",Krasev,1897,1954,Russia,Male,operabase,Krasev,
"Kratzer, Kazimierz Julian","Kratzer, Kazimierz Julian",1844,1890,Poland,,opera.stanford,,"Kratzer, Kazimierz Julian"
"Kraus-Hubner, ",Kraus-Hubner,1941,,Germany,Male,operabase,Kraus-Hubner,
"Kraus, Joseph Martin","Kraus, Joseph Martin",1756,1792,Germany,,opera.stanford,Kraus,"Kraus, Joseph Martin"
"Krause, Christian Gottfried","Krause, Christian Gottfried",1719,1770,Germany,,opera.stanford,,"Krause, Christian Gottfried"
"Krauze, ",Krauze,1938,,Poland,Male,operabase,Krauze,
"Kravchenko, ",Kravchenko,1929,1979,Russia,Male,operabase,Kravchenko,
"Krcek, ",Krcek,1939,,Czechia,Male,operabase,Krcek,
"Krebs, Carl August","Krebs [Miedcke], Carl August",1804,1880,Germany,,opera.stanford,,"Krebs [Miedcke], Carl August"
"Krein, Alexander","Krein, Alexander (Abramovich)",1883,1951,Russia,,opera.stanford,,"Krein, Alexander (Abramovich)"
"Kreisler, Fritz","Kreisler, Fritz [Friedrich]",1875,1962,Austria,,opera.stanford,,"Kreisler, Fritz [Friedrich]"
"Krejcí, Isa","Krejcí, Isa (Frantisek)",1904,1968,Czechia,,opera.stanford,,"Krejcí, Isa (Frantisek)"
"Krejcí, Miroslav","Krejcí, Miroslav",1891,1964,Czechia,,opera.stanford,,"Krejcí, Miroslav"
"Krempelsetzer, Georg","Krempelsetzer, Georg",1827,1871,Germany,,opera.stanford,,"Krempelsetzer, Georg"
"Kremser, Eduard","Kremser, Eduard",1838,1914,Austria,,opera.stanford,,"Kremser, Eduard"
"Krenek, Ernst","Krenek, Ernst",1900,1991,Austria,,opera.stanford,Krenek,"Krenek, Ernst"
"Kretschmer, Edmund","Kretschmer, Edmund",1830,1908,Germany,,opera.stanford,,"Kretschmer, Edmund"
"Kreube, Charles Frédéric","Kreube, Charles Frédéric",1777,1846,France,,opera.stanford,,"Kreube, Charles Frédéric"
"Kreuder, Peter Paul","Kreuder, Peter Paul",1905,1981,Germany,,opera.stanford,,"Kreuder, Peter Paul"
"Kreutz, Arthur","Kreutz, Arthur",1906,1991,United States,,opera.stanford,,"Kreutz, Arthur"
"Kreutzer, Conradin","Kreutzer [Kreuzer], Conradin [Conrad]",1780,1849,Germany,,opera.stanford,,"Kreutzer [Kreuzer], Conradin [Conrad]"
"Kreutzer, Léon Charles François","Kreutzer, Léon Charles François",1817,1868,France,,opera.stanford,,"Kreutzer, Léon Charles François"
"Kreutzer, Rodolphe","Kreutzer, Rodolphe",1766,1831,France,,opera.stanford,,"Kreutzer, Rodolphe"
"Kricka, Jaroslav","Kricka, Jaroslav",1882,1969,Czechia,,opera.stanford,,"Kricka, Jaroslav"
"Krieger, Johann","Krieger [Kruger, Kriegher], Johann [Giovanni]",1651,1735,Germany,,opera.stanford,,"Krieger [Kruger, Kriegher], Johann [Giovanni]"
"Krieger, Johann Philipp","Krieger [Kriger, Krüger, Krugl, Kriegher], Johann Philipp [Giovanni Filippo]",1649,1725,Germany,,opera.stanford,,"Krieger [Kriger, Krüger, Krugl, Kriegher], Johann Philipp [Giovanni Filippo]"
"Krogulski, Jósef Wladyslaw","Krogulski, Jósef Wladyslaw",1815,1842,Poland,,opera.stanford,,"Krogulski, Jósef Wladyslaw"
"Krohn, Felix","Krohn, Felix (Julius Theofil)",1898,1963,Finland,,opera.stanford,,"Krohn, Felix (Julius Theofil)"
"Krol, Bernhard","Krol, Bernhard",1920,,Germany,,opera.stanford,,"Krol, Bernhard"
"Kroll, ",Kroll,1945,,United States,Male,operabase,Kroll,
"Krstic, Petar","Krstic, Petar",1877,1957,Serbia,,opera.stanford,,"Krstic, Petar"
"Krug, Friedrich","Krug, Friedrich",1812,1892,Germany,,opera.stanford,,"Krug, Friedrich"
"Krug, Joseph","Krug, (Wenzel) Joseph",1800,1866,Germany,,opera.stanford,,"Krug, (Wenzel) Joseph"
"Kruis, M. H. vant","Kruis, M. H. van't",1861,1919,Netherlands,,opera.stanford,,"Kruis, M. H. van't"
"Kruyf, Ton de","Kruyf, Ton de",1937,,Netherlands,,opera.stanford,,"Kruyf, Ton de"
"Krygell, Johan Adam","Krygell, Johan Adam",1835,1915,Denmark,,opera.stanford,,"Krygell, Johan Adam"
"Krylov, Pavel","Krylov, Pavel",1885,1935,Russia,,opera.stanford,,"Krylov, Pavel"
"Kryukov, Vladimir Nikolayevich","Kryukov, Vladimir Nikolayevich",1902,1960,Russia,,opera.stanford,,"Kryukov, Vladimir Nikolayevich"
"Kubelik, Rafael","Kubelik, (Jeroným) Rafael",1914,,Czechia,,opera.stanford,,"Kubelik, (Jeroným) Rafael"
"Kubik, Gail","Kubik, Gail (Thompson)",1914,1984,United States,,opera.stanford,,"Kubik, Gail (Thompson)"
"Kubin, Rudolf","Kubin, Rudolf",1909,1973,Czechia,,opera.stanford,,"Kubin, Rudolf"
"Kucera, ",Kucera,1977,,Czechia,Male,operabase,Kucera,
"Kuhlau, Friedrich",Kuhlau ,1786,1832,Denmark,Male,operabase,Kuhlau,"Kuhlau, (Daniel) Friedrich [Frederik] (Rudolph)"
"Kuhnau, Johann","Kuhnau [Kuhn, Cuno], Johann",1660,1722,Germany,,opera.stanford,,"Kuhnau [Kuhn, Cuno], Johann"
"Kuhr, ",Kuhr,1952,,Austria,Male,operabase,Kuhr,
"Kulenkampff, Gustav","Kulenkampff, Gustav",1849,1921,Germany,,opera.stanford,,"Kulenkampff, Gustav"
"Kulenty, ",Kulenty,1961,,Poland,Female,operabase,Kulenty,
"Kullak, Franz","Kullak, Franz",1844,1913,Germany,,opera.stanford,,"Kullak, Franz"
"Kulygin, ",Kulygin,1943,,Russia,Male,operabase,Kulygin,
"Kunad, Rainer","Kunad, Rainer",1936,,Germany,,opera.stanford,,"Kunad, Rainer"
"Kunc, Jan","Kunc, Jan",1883,1976,Czechia,,opera.stanford,,"Kunc, Jan"
"Kunneke, ",Kunneke,1885,1953,Germany,Male,operabase,Kunneke,
"Kuntze, Karl","Kuntze, Karl",1817,1883,Germany,,opera.stanford,,"Kuntze, Karl"
"Kunz, Alfred","Kunz, Alfred",1929,,Romania,,opera.stanford,,"Kunz, Alfred"
"Kunz, Ernst","Kunz, Ernst",1891,1980,Switzerland,,opera.stanford,,"Kunz, Ernst"
"Kunz, Thomas Anton","Kunz, Thomas Anton",1756,1830,Czechia,,opera.stanford,,"Kunz, Thomas Anton"
"Kunzen, Friedrich Ludwig Aemilius","Kunzen, Friedrich Ludwig Aemilius",1761,1817,Germany,,opera.stanford,,"Kunzen, Friedrich Ludwig Aemilius"
"Kunzen, Johann Paul","Kunzen, Johann Paul",1696,1757,Germany,,opera.stanford,,"Kunzen, Johann Paul"
"Kupczak, ",Kupczak,1979,,Poland,Male,operabase,Kupczak,
"Kupferman, Meyer","Kupferman, Meyer",1926,2003,United States,,opera.stanford,,"Kupferman, Meyer"
"Kupka, Karel","Kupka, Karel",1927,,Czechia,,opera.stanford,,"Kupka, Karel"
"Kuprevicius, ",Kuprevicius,1944,,Lithuania,Male,operabase,Kuprevicius,
"Kurka, Robert","Kurka, Robert (Frank)",1921,1957,United States,,opera.stanford,,"Kurka, Robert (Frank)"
"Kurpinski, Karol","Kurpinski, Karol (Kazimierz)",1785,1857,Poland,,opera.stanford,Kurpinski,"Kurpinski, Karol (Kazimierz)"
"Kurstner, Thomas",Kurstner Thomas,1972,,Germany,Male,operabase,Kurstner,
"Kurzbach, Paul","Kurzbach, Paul",1902,,Germany,,opera.stanford,,"Kurzbach, Paul"
"Kusser, Johann Sigismund","Kusser [Cousser], Johann Sigismund [Jean Sigismond]",1660,1727,Slovakia,,opera.stanford,,"Kusser [Cousser], Johann Sigismund [Jean Sigismond]"
"Kutavicius, Bronislovas","Kutavicius, Bronislovas",1932,,Lithuania,,opera.stanford,Kutavicius,"Kutavicius, Bronislovas"
"Kuusisto, Ilkka Taneli","Kuusisto, Ilkka Taneli",1933,,Finland,,opera.stanford,,"Kuusisto, Ilkka Taneli"
"Kvam, Oddvar S","Kvam, Oddvar S(chirmer)",1927,,Norway,,opera.stanford,,"Kvam, Oddvar S(chirmer)"
"Kvapil, Jaroslav","Kvapil, Jaroslav",1892,1958,Czechia,,opera.stanford,,"Kvapil, Jaroslav"
"Kverndokk, ",Kverndokk,1967,,Norway,Male,operabase,Kverndokk,
"Kyllonen, ",Kyllonen,1955,,Finland,Male,operabase,Kyllonen,
"Kypourgos, ",Kypourgos,1952,,Greece,Male,operabase,Kypourgos,
"Láng, István","Láng, István",1933,,Hungary,,opera.stanford,,"Láng, István"
"Láska, Gustav","Láska, Gustav",1847,1928,Czechia,,opera.stanford,,"Láska, Gustav"
"Légat de Furcy, Antoine","Légat de Furcy [Furci, Fursy, Legal Defurcy], Antoine",1740,1790,France,,opera.stanford,,"Légat de Furcy [Furci, Fursy, Legal Defurcy], Antoine"
"Lévy, Michel-Maurice","Lévy [Bétove], Michel-Maurice",1883,1965,France,,opera.stanford,,"Lévy [Bétove], Michel-Maurice"
"Löhlein, Georg Simon","Löhlein, Georg Simon",1725,1781,Germany,,opera.stanford,,"Löhlein, Georg Simon"
"Löhner, Johann","Löhner, Johann",1645,1705,Germany,,opera.stanford,,"Löhner, Johann"
"Löhse, Otto","Löhse, Otto",1858,1925,Germany,,opera.stanford,,"Löhse, Otto"
"Løvenskjold, Herman Severin","Løvenskjold, Herman Severin",1815,1870,Norway,,opera.stanford,,"Løvenskjold, Herman Severin"
"López-Buchardo, Carlos","López-Buchardo, Carlos",1881,1948,Argentina,,opera.stanford,,"López-Buchardo, Carlos"
"Lôbo, Elias Álvares","Lôbo, Elias Álvares",1834,1901,Brazil,,opera.stanford,,"Lôbo, Elias Álvares"
"La Borde, Jean-Benjamin de","La Borde [Laborde], Jean-Benjamin(-François) de",1734,1794,France,,opera.stanford,,"La Borde [Laborde], Jean-Benjamin(-François) de"
"La Fage, Adrien de","La Fage, (Juste-)Adrien(-Lenoir) de",1801,1862,France,,opera.stanford,,"La Fage, (Juste-)Adrien(-Lenoir) de"
"La Garde, Pierre de","La Garde [Lagarde, Garde], Pierre de",1717,1792,France,,opera.stanford,,"La Garde [Lagarde, Garde], Pierre de"
"La Guerre, Élisabeth Jacquet de","La Guerre, Élisabeth Jacquet de",1659,1729,France,,opera.stanford,,"La Guerre, Élisabeth Jacquet de"
"La Guerre, Michel de","La Guerre, Michel de",1605,1679,France,,opera.stanford,,"La Guerre, Michel de"
"La Houssaye, Pierre","La Houssaye [Housset], Pierre(-Nicolas)",1735,1818,France,,opera.stanford,,"La Houssaye [Housset], Pierre(-Nicolas)"
"La Montaine, John","La Montaine, John",1920,2013,United States,,opera.stanford,,"La Montaine, John"
"La Prade, Ernest","La Prade, Ernest",1889,1969,United States,,opera.stanford,,"La Prade, Ernest"
"La Rosa Parodi, Armando","La Rosa Parodi, Armando",1904,1977,Italy,,opera.stanford,,"La Rosa Parodi, Armando"
"La Rotella, Pasquale","La Rotella, Pasquale",1880,1963,Italy,,opera.stanford,,"La Rotella, Pasquale"
"La Tombelle, Fernand de","La Tombelle, (Antoine Louis Joseph Gueyrand) Fernand (Fouant) de",1854,1928,France,,opera.stanford,,"La Tombelle, (Antoine Louis Joseph Gueyrand) Fernand (Fouant) de"
"La Violette, Wesley","La Violette, Wesley",1894,,United States,,opera.stanford,,"La Violette, Wesley"
"Labarre, Théodore","Labarre [Berry], Théodore(-François-Joseph)",1805,1870,France,,opera.stanford,,"Labarre [Berry], Théodore(-François-Joseph)"
"Labey, Marcel","Labey, Marcel",1875,1968,France,,opera.stanford,,"Labey, Marcel"
"Labroca, Mario","Labroca, Mario",1896,1973,Italy,,opera.stanford,,"Labroca, Mario"
"Lacépède, Bernard Germain Etienne Médard de la Ville-sur-Illon,","Lacépède, Bernard Germain Etienne Médard de la Ville-sur-Illon,",1756,1825,France,,opera.stanford,,"Lacépède, Bernard Germain Etienne Médard de la Ville-sur-Illon,"
"Laccetti, Guido","Laccetti, Guido",1879,1943,Italy,,opera.stanford,,"Laccetti, Guido"
"Lachenmann, ",Lachenmann,1935,,Germany,Male,operabase,Lachenmann,
"Lachner, Franz Paul","Lachner, Franz Paul",1803,1890,Germany,,opera.stanford,,"Lachner, Franz Paul"
"Lachner, Ignaz","Lachner, Ignaz",1807,1895,Germany,,opera.stanford,,"Lachner, Ignaz"
"Lachnith, Ludwig Wenzel","Lachnith [Lachnitt], Ludwig Wenzel [Louis-Wenceslas]",1746,1820,Czechia,,opera.stanford,,"Lachnith [Lachnitt], Ludwig Wenzel [Louis-Wenceslas]"
"Lackerschmid, ",Lackerschmid,1956,,Germany,Male,operabase,Lackerschmid,
"Lacombe, Louis","Lacombe [Trouillon-Lacombe], Louis (Trouillon)",1818,1884,France,,opera.stanford,,"Lacombe [Trouillon-Lacombe], Louis (Trouillon)"
"Lacome, Paul","Lacome [Lacôme d'Estalenx], Paul(-Jean-Jacques)",1838,1920,France,,opera.stanford,,"Lacome [Lacôme d'Estalenx], Paul(-Jean-Jacques)"
"Lacoste, Louis de","Lacoste, Louis de",1675,1755,France,,opera.stanford,,"Lacoste, Louis de"
"Laderman, Ezra","Laderman, Ezra",1924,,United States,,opera.stanford,,"Laderman, Ezra"
"Ladmirault, Paul","Ladmirault, Paul(-Émile)",1877,1944,France,,opera.stanford,,"Ladmirault, Paul(-Émile)"
"Ladurner, Ignace Antoine","Ladurner, Ignace Antoine (François Xavier) [Ignaz Anton Franz Xaver Joseph]",1766,1839,Italy,,opera.stanford,,"Ladurner, Ignace Antoine (François Xavier) [Ignaz Anton Franz Xaver Joseph]"
"Lagidze, Revaz Ilyich","Lagidze, Revaz Il'yich",1921,,Georgia,,opera.stanford,,"Lagidze, Revaz Il'yich"
"Lagoanère, Oscar de","Lagoanère, Oscar de",1853,1918,France,,opera.stanford,,"Lagoanère, Oscar de"
"Laitman, Lori",Laitman Lori,1961,,United States,Female,operabase,Laitman,
"Lajarte, Théodore","Lajarte, Théodore (Édouard Dufaure de)",1826,1890,France,,opera.stanford,,"Lajarte, Théodore (Édouard Dufaure de)"
"Lajtha, László","Lajtha, László",1892,,Hungary,,opera.stanford,,"Lajtha, László"
