,Work,Theatre,City,country,date
1013,The Ride of the Valkyries,Concert Hall (Sydney Opera House),Sydney,NSW,2003-03-27 00:00:00
1014,Tosca,Cowra Japanese Gardens,Cowra,NSW,2003-03-22 00:00:00
1015,Tales of Hoffmann,Nowra School of Arts,Nowra,NSW,2003-03-22 00:00:00
1016,The Saint of Bleecker Street,National Theatre,St Kilda,VIC,2003-03-21 00:00:00
1017,A Gala Concert,Elder Hall,University of Adelaide,SA,2003-03-09 00:00:00
1018,La Voix Humaine: Cocteau/Poulenc,Chapel Off Chapel,Prahran,VIC,2003-03-06 00:00:00
1019,Yvonne Kenny,Concert Hall (Sydney Opera House),Sydney,NSW,2003-03-06 00:00:00
1020,La Cenerentola (Cinderella),Sydney Opera House,Sydney,NSW,2003-02-28 00:00:00
1021,Amore! Opera's Greatest Love Scenes,Concert Hall (Sydney Opera House),Sydney,NSW,2003-02-13 00:00:00
1022,Rigoletto,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-02-12 00:00:00
1023,Mei Lanfang Children's Program,Concert Hall (Sydney Opera House),Sydney,NSW,2003-02-07 00:00:00
1024,The Long Slope,Concert Hall (Sydney Opera House),Sydney,NSW,2003-02-06 00:00:00
1025,Mei Lanfang Peking Opera Company,Concert Hall (Sydney Opera House),Sydney,NSW,2003-02-05 00:00:00
1026,The Barber of Seville,Domain,Sydney,NSW,2003-02-01 00:00:00
1027,Orpheus in the Underworld,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-01-30 00:00:00
1028,The Tender Land,Horti Hall Gallery,Melbourne,VIC,2003-01-24 00:00:00
1029,Lucia di Lammermoor,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-01-15 00:00:00
1030,Love in the Age of Therapy,Drama Theatre (Sydney Opera House),Sydney,NSW,2003-01-08 00:00:00
1031,La Pasion Segun San Marcos,Concert Hall (Sydney Opera House),Sydney,NSW,2003-01-04 00:00:00
1032,Don Giovanni,Opera Theatre (Sydney Opera House),Sydney,NSW,2003-01-02 00:00:00
1033,Three Tales,Perth,Perth,WA,2003
1034,Tesla:  Lightning in His Hand,Princes Wharf No. 1,Hobart,TAS,2003
1035,The Barber of Seville,Elder Hall,University of Adelaide,SA,2002-11-24 00:00:00
1036,Tosca,Wool Hall,Goodwood,SA,2002-11-23 00:00:00
1037,The Marriage of Figaro (Le Nozze di Figaro),State Theatre,Melbourne,VIC,2002-11-20 00:00:00
1038,La Favorita,Rockdale Town Hall,Rockdale,NSW,2002-11-17 00:00:00
1039,Tosca,Pirramimma Winery,McLaren Vale,SA,2002-11-16 00:00:00
1040,The Ghost Wife,The Pit Theatre,"Barbican, London",England,2002-11-14 00:00:00
1041,Der Rosenkavalier,State Theatre,Melbourne,VIC,2002-11-13 00:00:00
1042,Morning Melodies:Co-Opera Tosca,Festival Theatre,Adelaide,SA,2002-11-12 00:00:00
1043,Carmen,Tom Mann Theatre,Surry Hills,NSW,2002-11-02 00:00:00
1044,The Country Philosopher,The Street Theatre,Acton,ACT,2002-10-31 00:00:00
